time,Base,Shoulder,Elbow,Wrist_1,Wrist_2,Wrist_3,Gripper
0.0005049705505371094,-2.109375,-1.318359375,-35.859375,-8.26171875,10.37109375,6.85546875,-29.00390625
0.937091588973999,-2.197265625,-1.318359375,-35.859375,-7.91015625,9.931640625,6.85546875,-28.916015625
1.8566324710845947,-1.845703125,-0.615234375,-22.1484375,-7.646484375,10.546875,6.767578125,-28.740234375
2.7613117694854736,-1.93359375,0.966796875,-8.525390625,-7.822265625,9.84375,6.85546875,-28.564453125
3.6723945140838623,-2.4609375,2.28515625,4.130859375,-8.0859375,10.37109375,6.85546875,-10.107421875
4.571631193161011,-2.548828125,2.4609375,10.283203125,-7.55859375,10.458984375,6.6796875,-0.52734375
5.4927778244018555,-2.28515625,3.779296875,24.697265625,-8.26171875,10.458984375,6.416015625,-22.060546875
6.406209468841553,-2.373046875,12.392578125,-15.46875,-18.720703125,9.84375,6.85546875,-20.7421875
7.329320430755615,-1.845703125,24.2578125,-15.732421875,-29.8828125,9.755859375,7.03125,-1.7578125
8.237114429473877,-1.40625,18.45703125,-14.853515625,1.93359375,10.283203125,6.064453125,-38.408203125
9.168803453445435,-2.109375,-6.591796875,17.138671875,-9.580078125,9.84375,6.85546875,-38.408203125
10.09902548789978,-1.669921875,1.93359375,-4.5703125,-9.580078125,10.37109375,6.328125,-39.111328125
11.012240409851074,-1.7578125,-19.951171875,-17.841796875,-10.1953125,10.107421875,6.85546875,-39.0234375
11.920109987258911,-2.021484375,-20.126953125,-17.75390625,-10.1953125,10.283203125,6.85546875,-39.0234375
